Just looking at him makes me  M_go M_weak at the M_knees .
I felt very  M_torn : I didn’t know what to do.
You’ve  M_injured /hurt her feelings.
She made some very  M_hurtful  remarks.
It  M_pains  me to see you like this.
It was  M_agony  waiting for the results.
Sam looked a bit  M_knocked M_back  by the news.
"Her ego is  M_bruised , but she’ll get over it."
"It’s a disappointment, I know, but you’ll just have to  M_take it on the M_chin ."
The news  M_lifted  her spirits.
Things are looking  up .
Cheer  up !
My spirits  M_rose  when I got her letter.
I’ve been  M_walking /floating on air ever since.
I was  over the M_moon  when they told me.
I felt as  M_high as a M_kite .
She’s  on M_top of the M_world /on cloud nine.
I was in  M_seventh M_heaven .
I feel really  down /low about it all.
He’s in very  M_low  spirits.
He’s in the  M_depths  of despair.
My heart  M_sank  when I saw him.
They looked very  down in the M_mouth /down in the dumps.
The future looks very  M_bright /rosy.
She  M_brightened  up when she heard the news.
His face  M_lit up  when he saw them.
They had  M_shining  eyes and beaming/dazzling smiles.
The bride looked  M_radiant .
You have to look for  the M_light at the M_end of the M_tunnel .
He was in a  M_black  mood.
I was feeling  M_blue .
There’s no point in having these  M_dark  thoughts.
His face  M_darkened .
They led a  M_grey  empty existence.
I’m afraid the outlook is very  M_gloomy /bleak/dismal.
The news cast a  M_shadow  over the evening.
She was famed for her  M_plain M_speaking .
Every effort is made to write official documents in  M_plain  English.
He was  M_plain-spoken  almost to the point of rudeness.
Her prose is lucid and  M_unadorned .
I want you to give me the  M_unvarnished  truth.
It says here  in M_black and M_white  that if you don’t have a job you can’t get a visa.
"With each retelling, Matt added more  M_embellishments  to his story."
 M_Fancy  writing is often used to obscure the truth.
Everyone  M_embroiders  the truth to some extent.
Her  M_colourful  account of her life proved a huge success.
They  M_glossed over  all the difficult questions.
We have been  M_close  friends since we were five.
We were  M_inseparable  as children.
"The very first time that they met, they  M_bonded  immediately."
I was very  M_attached  to him.
The school encourages  M_links  between students and local businesses.
He was left some money by a  M_distant  relative.
 M_Cracks  appeared in the relationship.
There was a growing  M_rift  between president and vice-president.
The book describes the deep  M_divisions  within the government.
The party was  M_torn M_apart .
She had just  M_split /broken up with her boyfriend.
My parents  M_separated  when I was very young.
We are both committed to  M_mending  our marriage.
The visit is part of an attempt to  M_repair  the relationship between the two governments.
I’m glad to see that you two have  M_patched M_things up .
The meeting was designed mainly as a  M_fence-mending  exercise.
The first step is to  M_build M_bridges  with the other side.
She’s very good at  M_smoothing over  the differences between conflicting parties.
The agreement did no more than  M_paper over the M_cracks .
"Our children have grown up to be  M_stable , loving adults."
Friends describe Laura as a  M_well-balanced  young woman.
Being married makes me feel  M_grounded .
She was engaged to a  M_solid  young man called Frank.
"He’s a  M_steady  kind of person, nothing fazes him."
"Jayne’s very  M_level-headed , while I’m more up and down."
It’s hard to  M_keep your M_feet on the M_ground  when you suddenly become famous.
"When he left her, she  M_collapsed in a M_heap ."
I had a bit of a  M_wobble  but I’m all right now.
Nothing ever seems to  M_throw her off M_balance .
I was just  M_knocked M_sideways  by what happened.
You can rely on their  M_support .
You can always  M_lean on  me.
I need someone to  M_hold my M_hand  – I can’t do it on my own.
I need a  M_shoulder to M_cry on .
Let me  M_lend a M_hand .
They gave me  a M_helping M_hand /a leg-up.
She put her life  in   their hands.
The government stepped in to  M_prop /shore up the fishing industry.
They made some  M_constructive  comments/suggestions.
She’s a  M_pillar  of the community.
A good diet will help your body  M_fight  disease.
Jean died on Sunday after a long  M_battle  against cancer.
I’ve been  M_fighting off  a cold all week.
Vitamins help build  M_resistance  to infection.
The virus  M_attacks  the immune system.
He has suffered from regular  M_bouts  of depression.
You tend to get ill when your body’s natural  M_defences  are low.
The company is developing a new drug to  M_combat  malaria.
Simple hygiene measures can help  M_guard against  infection.
He was diagnosed with  M_invasive  lung cancer.
She is suffering from the most  M_aggressive  form of the disease.
Millions of people  are M_falling M_victim to  AIDS every year.
They have no power/control  over  their staff.
She ruled  over  the empire for many years.
"He remained  at the M_top  for ten years, until his retirement."
They have come out  on M_top  yet again.
She holds the  M_highest  position in the company.
There are many staff  under  her.
How many people are there  above  you?
I began my career as a  M_lowly  office worker.
Don’t let them  M_walk all over  you.
the  M_upper /lower classes
They were  M_downtrodden  and oppressed.
She’s completely  under  his thumb.
They have a  M_hold  over him.
The military forces  M_seized  power.
Police kept a  M_firm M_grip  on dissenters.
She seems to have a  M_handle  on most of the work.
I’ve got the situation well  in M_hand .
The children are completely  out of M_hand .
Who makes the decisions? Who is  M_pulling the M_strings ?
I have no idea who’s  in the M_driving M_seat .
The company expanded greatly during his years  in the M_saddle .
She is  M_steering  the country through much-needed reforms.
She kept her staff on a very  M_tight M_rein .
We are  in  a situation where there are no real winners.
"In this work, the author is back on  M_familiar M_territory ."
It was time for her to leave the family  M_nest .
I’ve felt  at M_home  since the moment I started work here.
He carved out a  M_niche  for himself within the company.
This is right  up  my street/alley.
The park is a  haven  for tired shoppers.
This town has always been a cultural  M_desert .
That part of the city is nothing but a concrete  M_jungle .
He spent many years in the political  M_wilderness .
This is a potential  M_minefield  for beginners.
We have a very  M_rocky M_road  to travel.
I’ve been caught  between a M_rock and a M_hard M_place .
We were left  M_high and M_dry  when they withdrew our funding.
He’s in a  M_tight M_spot .
"This term, we will be  M_exploring  the psychology of sport."
"In today’s class, I will  M_map out  the most important concepts."
We can  M_approach  the subject from several directions.
Can you give me a few  M_pointers ? What should I read first?
It is an excellent  M_guide  to English vocabulary.
The program allows you to  M_navigate  the Web more easily.
The first  M_step  in learning a language is to learn its sounds.
This aspect of his work is very much  M_uncharted M_territory .
We’re  on M_surer/more M_familiar M_ground  here.
New students have to take an  M_orientation  course.
Allow me to  M_shed/throw some M_light  on the matter.
Can you  M_enlighten  me as to what your intentions are?
There are a couple of points that I’d like you to  M_clear up .
Her work has greatly  M_illuminated  this aspect of the subject.
This  M_spotlights /highlights the problems of bilingual children.
He kept us  in the M_dark  about his plans.
The book concerns the  M_shadowy  world of espionage.
I only have a  M_dim  recollection of what happened next.
I haven’t got the  M_foggiest /faintest idea.
They greeted us  M_warmly  when we arrived.
They are very  M_warm-hearted /cold-hearted people.
"I didn’t like him at first, but I soon  M_warmed  to him."
She has a  M_sunny  disposition.
Their friendly greetings were met with a  M_frosty  silence.
We were given a rather  M_chilly  reception.
He stared at us  M_coldly .
She treated us with  M_cool  indifference.
The other two girls began to  M_freeze her out .
Observers have noted a  M_thaw  in Franco-American relations.
She was famed for her  M_plain M_speaking .
Every effort is made to write official documents in  M_plain  English.
He was  M_plain-spoken  almost to the point of rudeness.
Her prose is lucid and  M_unadorned .
I want you to give me the  M_unvarnished  truth.
It says here  in M_black and M_white  that if you don’t have a job you can’t get a visa.
"With each retelling, Matt added more  M_embellishments  to his story."
 M_Fancy  writing is often used to obscure the truth.
